"","county","weave_ct2010","Educ_HS_GradRateF","Educ_HS_CCRPI_ScoreF","Educ_pcExceeding_3Grade_ReadingF","Educ_pc_Exceeding_8Grade_MathF","Health_pcLBW_BirthsF","Health_pc_Under18_no_Health_InsF","Income_pcUnder18_in_povF","Income_pcFam_below200pc_povF","Income_pcHH_HousingBurdenF","Birth_to_Moms_noHSF","Educ_pc_postsecF","Educ_pcAdults_no_HSF","Health_pcAdults_no_Health_InsF","Income_Unemployment_rateF"
"106","Cobb",13067030310,0.400244793235153,0.477330778024558,1.07641545647544,0.178659815756889,0.704816380301532,-0.0234010205824241,0.691620992028893,0.47579503050513,0.329517872136045,0.354591501914593,0.72733099247699,0.460443150579778,0.236975826465229,0.693763371021069
"107","Cobb",13067030311,0.459872068668573,0.563363402188369,1.42144692507117,0.199921991514476,0.204851400418585,1.18246076172088,0.877512448391368,1.08268554652406,1.85735036221084,0.794053733446526,0.755515572455789,0.820429302533209,0.725313773919959,0.738773040862519
"108","Cobb",13067030312,0.587644801740186,0.649396026352179,0.980573381865509,-0.220005979697866,1.24049314446183,-1.20538435175101,0.209308024169499,0.485663168976983,0.798912191375891,0.785602536686296,0.661566972526458,0.738146753515282,0.495507681000086,0.288676342448012
"109","Cobb",13067030313,0.579126619535411,0.649396026352179,0.970989174404516,-0.342263490303991,0.597681027469472,-0.405456238737926,1.32316460660003,1.00374043874924,1.00139601536171,0.794053733446526,0.661566972526458,0.799858665278727,0.789946737553673,0.348689235569947
"110","Cobb",13067030314,1.08169936961709,1.51928144845293,1.08120756020593,1.86368724454565,1.06193422307507,0.287018844168921,0.862440168145761,0.752102907717003,0.863338862644105,0.912370488089738,1.20646885211658,0.676434841751837,0.502689121403832,0.693763371021069
"111","Cobb",13067030318,1.12429028064096,1.46192636567706,1.70418104517046,1.53412352030306,-0.116554658077596,0.692952513459142,1.06340390475384,1.01854264645702,0.568816936846555,1.33435564472152,1.40376091196817,1.07756226821423,1.29982900621964,0.753776264143003
"112","Cobb",13067030319,1.59279030190355,1.90164866695876,1.75689418620592,2.19856651272765,-0.723654990792604,0.430289550977235,0.902632915467378,1.02347671569295,0.725281709926503,1.28145960419924,1.81713475165723,1.18041545448664,1.25674036379716,0.858798827106388
"113","Cobb",13067030320,0.110626598272828,0.515567499875141,0.96619707067402,0.141451008181111,-0.759366775069957,1.07500773161464,0.405247667362378,1.03827892340073,0.495186455397167,0.945228741093511,0.577013232590061,1.1701301358594,1.04129715168478,1.35390519536235
"114","Cobb",13067030322,1.49057211544626,2.21710162222607,1.30643643553926,1.82647843696988,1.09764600735242,0.860101671402174,1.14378939939707,1.02841078492888,1.43397509387686,0.681728877306316,1.61984269180563,0.789573346651486,0.825853939572403,0.903808496947839
"115","Cobb",13067030324,0.383208428825604,0.458212417099266,1.57479424444706,0.152082096059905,0.490545674637411,-1.31283738185724,0.751910113011317,1.09255368499592,1.40636366333334,0.861663307528362,0.736725852469924,0.635293567242873,0.509870561807578,0.663756924460102
"116","Cobb",13067030326,1.49057211544626,2.21710162222607,1.46936796237614,1.79990071727289,1.09050365049695,1.02725082934521,1.01818706401702,1.29978459290482,1.54442081605094,0.898966890028015,1.61984269180563,1.06727694958699,0.789946737553673,1.23387940911848
"117","Cobb",13067030327,1.19243573827916,1.81561604279495,1.17704963481586,1.99126029909118,1.16906957590713,0.800405543565377,0.847367887900155,1.26031203901741,1.46158652442038,0.843603100051751,1.59165811182683,1.09813290546871,0.675043691093736,0.99382783663074
"118","Cobb",13067030328,1.19243573827916,1.81561604279495,1.75689418620592,1.99126029909118,0.776239948856238,1.19439998728824,1.15383758622748,1.40340004685927,1.26830651061574,1.12288979938705,1.59165811182683,0.974709081941822,1.32137332743088,0.873802050386872
"119","Cobb",13067030329,1.22650846709825,1.57663653122881,1.37352588776621,2.09757117787911,0.990510654520359,-0.309942434199051,0.581090936894449,1.16656472353481,1.83894274184849,0.686148853211916,1.47891979191163,0.779288028024245,0.904849784013609,0.843795603825904
"120","Cobb",13067030330,1.38835392898896,1.85385276464553,1.62271528175202,2.21451314454584,1.16906957590713,1.03919005491257,0.942825662788994,1.22577355436593,0.808116001557065,1.06106084388922,1.69500157174909,0.984994400569063,1.06284147289602,0.693763371021069
"121","Cobb",13067030331,1.2435448315078,1.8251752232576,1.74251787501443,2.1188333536367,-0.68794320651525,0.716830964593861,1.12871711915147,1.18630100047852,1.15786078844166,1.23388781763591,1.61984269180563,1.06727694958699,1.27110324460466,1.29389230224041
"122","Cobb",13067030332,1.59279030190355,1.90164866695876,1.75689418620592,2.21451314454584,0.276274968973291,1.086946957182,1.06340390475384,1.24057576207371,1.33273318188395,0.779162724755001,1.81713475165723,0.851285258414932,1.2782846850084,0.843795603825904
"123","Cobb",13067030333,1.21799028489348,1.54795898984087,1.50291268848961,1.64043439909099,2.09757596711831,1.05112928047993,0.827271514239347,1.0333448541648,1.71008939931206,1.07640821720579,1.48831465190457,1.11870354272319,1.1992888405672,0.52872791493575
"124","Cobb",13067030334,1.59279030190355,1.90164866695876,1.71376525263145,2.19856651272765,-0.723654990792604,0.322836520871,0.772006486672125,1.33925714679223,0.964580774637013,1.0444035350748,1.81713475165723,0.840999939787691,1.32137332743088,0.693763371021069
"125","Cobb",13067030335,1.311690289146,1.84429358418289,2.07796513614917,2.08162454606092,1.27620492873919,1.13470385945144,1.04833162450824,1.18630100047852,1.51680938550742,1.04180056647265,1.64802727178443,1.19070077311388,1.45063925469831,1.12885684615509
"126","Cobb",13067030336,1.51612666206058,1.88253030603347,2.01566778765272,2.20388205666704,0.847663517410945,0.848162445834815,0.967946129865004,1.09255368499592,1.00139601536171,0.971528865411345,1.76076559169963,0.93710595704063,1.53681653954326,0.723769817582036
"127","Cobb",13067030337,1.59279030190355,1.90164866695876,1.72814156382294,2.19856651272765,1.13335779162977,0.919797799238972,1.04833162450824,1.20603727742222,1.13024935789813,1.29359552274693,1.81713475165723,1.10841822409595,1.31419188702713,1.15886329271606
"128","Cobb",13067030339,-0.298246147556335,0.133200281369314,-0.763752376035164,-0.395418929697959,0.347698537527998,0.95561547594105,0.813204052676782,0.855718361671455,0.568816936846555,1.05604083301364,0.276377712816203,1.01585035645079,0.517052002211324,1.32389874880138
