"","county","weave_ct2010","ChildZ","FamilyZ","CommunityZ","CWB_Z"
"1","Butts",13035150100,-0.0412783501117991,0.366061022890712,-0.338990828261681,-0.00473605182758944
"2","Butts",13035150200,-0.206014715030442,-0.536787989362919,-0.770442112275815,-0.504414938889725
"3","Butts",13035150300,0.0404426614563934,0.235942725920766,-0.450002288417452,-0.0578723003467641
"4","Cherokee",13057090100,0.623989308346369,0.37766851632533,0.372200247429702,0.457952690700467
"5","Cherokee",13057090200,0.186697064713315,0.397711698925338,0.0763182038956416,0.220242322511432
"6","Cherokee",13057090300,0.289299209133971,0.71433583946485,0.468477029578157,0.490704026058992
"7","Cherokee",13057090400,-0.0809729686052272,-0.666525654426292,-0.771311924289963,-0.506270182440494
"8","Cherokee",13057090501,0.908854418316224,0.700580528945564,0.323728677283991,0.644387874848593
"9","Cherokee",13057090502,1.03203152186312,0.634733530447192,0.635944418262301,0.767569823524205
"10","Cherokee",13057090601,-0.0791733149624086,-0.253159263663746,-0.473374845603097,-0.26856914140975
"11","Cherokee",13057090602,0.64862973931573,0.0332984138987753,-0.0980967239907415,0.194610476407921
"12","Cherokee",13057090701,0.815754130315893,0.746153946903856,0.609705547827835,0.723871208349194
"13","Cherokee",13057090702,0.676742045458866,0.308588075338259,0.287715945908799,0.424348688901975
"14","Cherokee",13057090802,0.764500686886795,0.775098241324986,0.786169882400543,0.775256270204108
"15","Cherokee",13057090803,1.03761366473314,0.911780577413539,0.755185436330394,0.901526559492357
"16","Cherokee",13057090804,0.971233229312216,1.25727034321551,0.700432792034446,0.976312121520724
"17","Cherokee",13057090901,0.661706210860482,0.934373774721552,0.59645070351028,0.730843563030771
"18","Cherokee",13057090902,0.981048071880367,0.737436521042605,0.770271410845435,0.829585334589469
"19","Cherokee",13057090904,0.664432092971564,0.279657851333177,0.409509199782561,0.451199714695767
"20","Cherokee",13057090905,0.609592444446348,0.471666789113812,0.63603290201304,0.572430711857734
"21","Cherokee",13057091001,0.252823026486749,0.0582357882601415,0.207061309360754,0.172706708035881
"22","Cherokee",13057091003,0.388761001080425,-0.0723645882194058,-0.114546646597433,0.0672832554211956
"23","Cherokee",13057091005,0.522980653822681,0.545584513448474,0.284693190951594,0.451086119407583
"24","Cherokee",13057091006,0.894374479668866,0.885244731505932,0.916327868631868,0.898649026602222
"25","Cherokee",13057091007,1.09185581789893,0.912737409932645,1.02188972944436,1.00882765242531
"26","Cherokee",13057091008,0.7532326423768,1.10817834335667,0.963788236086681,0.94173307394005
"27","Cherokee",13057091101,0.740554543015521,0.632005388088793,0.608666346928993,0.660408759344436
"28","Cherokee",13057091102,0.504687461556092,0.376451917427447,-0.0188607290470108,0.287426216645509
"29","Cherokee",13057091103,0.749387439830111,0.904783343556474,0.594966938606606,0.74971257399773
"30","Clayton",13063040202,-1.14618589331187,-1.12509330930162,-0.883840537320471,-1.05170657997799
"31","Clayton",13063040203,-1.01440430594909,-0.563216370515994,-0.767602083965624,-0.78174092014357
"32","Clayton",13063040204,-1.54763876822184,-0.5001947660313,-0.453770927074749,-0.833868153775963
"33","Clayton",13063040302,-1.08889560529989,-1.60453137169446,-1.39943392187502,-1.36428696628979
"34","Clayton",13063040303,-1.14902786657912,-1.38725440403995,-2.21748224858706,-1.58458817306871
"35","Clayton",13063040306,-1.12791006717644,-2.616583932134,-2.16335096364883,-1.96928165431976
"36","Clayton",13063040307,-1.15321018359077,-1.37024810893181,-1.375277145664,-1.29957847939552
"37","Clayton",13063040308,-1.12439969580259,-1.60222756930666,-1.45281960272962,-1.39314895594629
"38","Clayton",13063040407,-0.386510569141342,-0.503538944613308,-0.587493502904855,-0.492514338886501
"39","Clayton",13063040408,-0.468531753938398,-0.424694755206007,-0.81797099246181,-0.570399167202072
"40","Clayton",13063040409,-0.629574400434536,-0.294657702484051,-0.355968536839387,-0.426733546585991
"41","Clayton",13063040410,-0.738691514839101,-1.58908844726658,-0.842155034278651,-1.05664499879478
"42","Clayton",13063040411,-0.269774579670562,0.134201893884751,0.0741642692873437,-0.020469472166156
"43","Clayton",13063040412,-0.541061482129771,-0.376556516511515,-1.19591307944839,-0.704510359363224
"44","Clayton",13063040413,-0.551306587349049,-0.975997826410178,-0.591860540299184,-0.706388318019471
"45","Clayton",13063040414,-0.843381677509137,-1.01701706007847,-1.41505231346307,-1.09181701701689
"46","Clayton",13063040415,-1.08459450284897,-1.46310965336017,-1.61634733513782,-1.38801716378232
"47","Clayton",13063040416,-0.595002239005405,-1.262770790176,-1.18907863735808,-1.01561722217983
"48","Clayton",13063040417,-0.762954468787115,-1.56317985030673,-1.1439051828689,-1.15667983398758
"49","Clayton",13063040509,-0.721414811797016,0.495724461891366,-0.405769547763002,-0.210486632556217
"50","Clayton",13063040510,-1.06452849401284,-0.61880579309356,-0.727256747194858,-0.803530344767085
"51","Clayton",13063040512,-0.742617239109535,-0.368827683017758,-0.672530719947669,-0.594658547358321
"52","Clayton",13063040513,-0.489531101410294,0.233669527697227,-0.467320042547715,-0.241060538753594
"53","Clayton",13063040514,-0.972339754049092,-1.24682135289022,-1.02520042273926,-1.08145384322619
"54","Clayton",13063040515,-0.493141463931915,-0.175141891043105,-0.881214650828844,-0.516499335267955
"55","Clayton",13063040516,-0.771828786921229,-1.17908978318805,-0.795886149605792,-0.915601573238357
"56","Clayton",13063040518,-1.12600253485897,-0.820291811038666,-1.30945044831429,-1.08524826473731
"57","Clayton",13063040519,-0.780612170000763,-1.20570404578894,-0.855081073554367,-0.947132429781357
